,index,fw,mver,lts,dst_name,af,dst_addr,src_addr,proto,ttl,size,result,dup,rcvd,sent,min,max,avg,msm_id,prb_id,timestamp,msm_name,from,type,group_id,step,stored_timestamp,ASN,country_code,is_anchor,system,long,lat,time_lagged
15,7296,5080,2.6.2,21,213.59.253.7,4,213.59.253.7,192.168.88.227,ICMP,247.0,48,"[{'rtt': 13.539468}, {'rtt': 13.481208}, {'rtt': 13.238238}, {'rtt': 13.283578}]",0,4,4,13.238238,13.539468,13.385623,72481479,12794,1716766422,Ping,178.67.67.104,ping,72481479,1200,1716766481,12389.0,RU,False,system: V3,30.9915,59.8795,1716765227.0
16,7781,5080,2.6.2,8,213.59.253.7,4,213.59.253.7,192.168.88.227,ICMP,247.0,48,"[{'rtt': 13.591019}, {'rtt': 13.264368}, {'rtt': 13.312937}, {'rtt': 13.311569}]",0,4,4,13.264368,13.591019,13.36997325,72481479,12794,1716767614,Ping,178.67.67.104,ping,72481479,1200,1716767786,12389.0,RU,False,system: V3,30.9915,59.8795,1716766422.0
17,8267,5080,2.6.2,2,213.59.253.7,4,213.59.253.7,192.168.88.227,ICMP,247.0,48,"[{'rtt': 13.675944}, {'rtt': 13.201498}, {'rtt': 14.131637}, {'rtt': 13.260299}]",0,4,4,13.201498,14.131637,13.5673445,72481479,12794,1716768825,Ping,178.67.67.104,ping,72481479,1200,1716768948,12389.0,RU,False,system: V3,30.9915,59.8795,1716767614.0
18,8754,5080,2.6.2,3,213.59.253.7,4,213.59.253.7,192.168.88.227,ICMP,247.0,48,"[{'rtt': 13.793411}, {'rtt': 13.255837}, {'rtt': 13.399342}, {'rtt': 12.742129}]",0,4,4,12.742129,13.793411,13.29767975,72481479,12794,1716770016,Ping,178.67.67.104,ping,72481479,1200,1716770088,12389.0,RU,False,system: V3,30.9915,59.8795,1716768825.0
19,9238,5080,2.6.2,5,213.59.253.7,4,213.59.253.7,192.168.88.227,ICMP,247.0,48,"[{'rtt': 13.469578}, {'rtt': 13.358943}, {'rtt': 13.198597}, {'rtt': 13.473023}]",0,4,4,13.198597,13.473023,13.37503525,72481479,12794,1716771216,Ping,178.67.67.104,ping,72481479,1200,1716771281,12389.0,RU,False,system: V3,30.9915,59.8795,1716770016.0
20,9724,5080,2.6.2,93,213.59.253.7,4,213.59.253.7,192.168.88.227,ICMP,247.0,48,"[{'rtt': 13.699258}, {'rtt': 13.301527}, {'rtt': 13.990415}, {'rtt': 13.526064}]",0,4,4,13.301527,13.990415,13.629316,72481479,12794,1716772422,Ping,178.67.67.104,ping,72481479,1200,1716772453,12389.0,RU,False,system: V3,30.9915,59.8795,1716771216.0
21,10212,5080,2.6.2,27,213.59.253.7,4,213.59.253.7,192.168.88.227,ICMP,247.0,48,"[{'rtt': 13.654904}, {'rtt': 13.270233}, {'rtt': 13.455368}, {'rtt': 13.279362}]",0,4,4,13.270233,13.654904,13.41496675,72481479,12794,1716773626,Ping,178.67.67.104,ping,72481479,1200,1716773686,12389.0,RU,False,system: V3,30.9915,59.8795,1716772422.0
22,10698,5080,2.6.2,33,213.59.253.7,4,213.59.253.7,192.168.88.227,ICMP,247.0,48,"[{'rtt': 13.528409}, {'rtt': 13.311422}, {'rtt': 13.387772}, {'rtt': 13.465054}]",0,4,4,13.311422,13.528409,13.42316425,72481479,12794,1716774827,Ping,178.67.67.104,ping,72481479,1200,1716774883,12389.0,RU,False,system: V3,30.9915,59.8795,1716773626.0
23,11185,5080,2.6.2,76,213.59.253.7,4,213.59.253.7,192.168.88.227,ICMP,247.0,48,"[{'rtt': 13.607359}, {'rtt': 13.390447}, {'rtt': 13.505873}, {'rtt': 13.177317}]",0,4,4,13.177317,13.607359,13.420249,72481479,12794,1716776014,Ping,178.67.67.104,ping,72481479,1200,1716776137,12389.0,RU,False,system: V3,30.9915,59.8795,1716774827.0
24,11673,5080,2.6.2,32,213.59.253.7,4,213.59.253.7,192.168.88.227,ICMP,247.0,48,"[{'rtt': 13.534394}, {'rtt': 13.343813}, {'rtt': 13.345742}, {'rtt': 13.284742}]",0,4,4,13.284742,13.534394,13.37717275,72481479,12794,1716777226,Ping,178.67.67.104,ping,72481479,1200,1716777282,12389.0,RU,False,system: V3,30.9915,59.8795,1716776014.0
